points,settlement1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,settlement2,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,production,win
6,6,S,9,W,3,S,3,C,4,S,11,L,55,0
10,8,O,10,C,3,S,3,S,9,L,11,S,58,1
7,9,L,4,O,2,W,6,C,4,C,11,L,34,0
9,6,W,4,O,3,O,5,L,8,W,10,S,64,0
6,4,O,5,L,11,S,5,W,9,L,10,C,60,0
7,5,L,8,W,10,C,4,S,9,O,2,L,50,0
7,5,O,9,O,10,C,5,L,6,S,11,C,73,0
10,6,C,9,O,3,L,8,W,4,O,3,S,54,1
7,5,S,6,C,9,W,5,L,8,W,10,L,46,0
3,9,O,10,L,11,W,6,C,11,C,12,O,19,0
7,6,O,9,W,3,C,4,S,9,W,11,C,62,0
7,6,C,11,W,3,L,5,S,8,L,10,O,47,0
10,4,S,8,W,10,S,5,O,6,C,11,C,63,1
10,5,S,6,C,9,L,8,W,4,L,3,O,50,1
5,5,S,8,S,10,O,6,C,11,W,12,L,62,0
4,5,S,9,W,10,C,4,L,9,L,11,L,36,0
5,6,W,9,L,3,O,4,L,8,S,10,C,37,0
9,4,C,8,W,10,W,9,O,10,L,11,S,58,0
7,5,L,9,C,10,W,6,S,3,L,11,S,50,0
10,4,C,9,O,3,S,5,L,6,S,12,W,75,1
10,5,S,6,O,9,S,5,W,8,W,10,W,42,1
8,8,W,4,O,3,L,6,C,9,O,3,C,59,0
6,4,C,8,S,10,L,9,O,10,W,2,S,39,0
5,6,O,3,L,11,W,4,C,9,O,11,W,43,0
7,6,O,9,O,10,W,4,W,9,S,11,S,52,0
10,5,L,6,O,11,S,6,L,4,W,3,S,65,1
7,8,C,4,W,3,C,5,W,9,S,10,L,56,0
6,5,L,9,O,10,S,6,C,3,S,12,W,34,0
6,5,W,8,L,10,L,6,C,4,S,3,S,70,0
6,6,O,9,W,10,S,5,S,10,S,9,W,68,0
7,5,L,6,O,11,C,8,W,10,S,3,L,52,0
10,5,L,8,O,10,S,4,L,9,W,11,C,82,1
5,5,L,9,O,10,S,6,L,3,O,11,S,37,0
10,5,O,8,C,10,S,6,W,9,W,3,W,71,1
7,8,C,4,L,3,O,9,W,10,S,11,W,34,0
8,4,C,8,C,10,S,5,L,6,L,11,W,51,0
4,5,O,6,S,9,W,6,S,3,W,11,L,31,0
10,5,O,8,L,4,W,8,C,4,L,3,W,41,1
5,6,O,9,S,3,S,4,W,9,S,11,C,23,0
8,5,O,9,W,10,S,3,C,9,W,11,O,55,0
9,5,L,9,C,10,W,5,L,6,O,12,S,69,0
10,6,O,4,S,3,C,4,W,5,L,11,O,83,1
6,5,C,9,L,10,S,8,S,4,W,3,O,46,0
9,5,L,8,S,10,W,8,W,4,W,3,C,55,0
7,6,S,9,L,4,W,6,L,3,C,11,O,68,0
10,5,W,6,C,9,S,8,L,4,S,3,W,43,1
3,4,W,9,O,11,W,6,C,3,W,11,L,19,0
5,6,C,9,O,3,S,5,C,8,L,10,L,39,0
7,6,O,4,O,3,L,6,W,9,W,10,C,68,0
6,9,C,4,O,2,S,3,W,9,C,11,L,60,0
10,8,W,4,O,3,W,5,L,8,C,10,C,67,1
6,6,L,9,L,3,C,6,W,3,L,11,C,53,0
4,5,O,6,W,9,S,4,L,5,O,11,C,38,0
7,5,L,6,W,11,C,9,O,4,S,2,S,51,0
10,5,L,9,O,10,O,6,W,4,L,11,C,67,1
6,5,L,9,S,10,W,3,O,9,O,11,C,54,0
7,5,S,8,W,10,S,6,W,4,C,3,O,47,0
8,5,O,6,W,11,O,9,W,10,S,11,O,71,0
2,6,W,11,L,12,S,6,L,9,W,3,C,31,0
8,5,C,6,S,9,W,6,S,3,O,11,O,86,0
5,8,C,4,L,3,O,9,L,10,W,11,S,47,0
10,6,S,9,L,3,O,5,L,8,L,10,W,77,1
9,8,L,4,W,3,O,4,L,5,C,11,S,56,0
7,5,S,8,L,10,O,9,C,10,O,2,L,46,0
10,5,S,8,O,10,W,4,O,9,C,11,L,55,1
6,8,O,4,O,3,S,6,W,3,S,11,W,26,0
6,5,S,6,W,9,W,8,L,4,C,3,S,47,0
8,6,L,4,O,3,S,6,L,4,S,3,C,70,0
6,5,C,6,L,11,S,4,L,9,W,2,O,43,0
6,5,W,9,W,10,L,6,L,4,C,3,S,37,0
11,5,W,8,O,10,O,8,S,4,S,3,C,72,1
9,5,S,6,W,9,W,6,W,3,O,11,L,67,0
6,9,C,10,O,11,W,5,S,8,S,10,L,43,0
7,4,S,5,S,11,W,6,L,9,C,2,L,31,0
4,6,C,9,L,3,O,6,C,3,O,11,S,47,0
10,5,C,6,C,9,W,5,L,8,S,10,S,77,1
5,8,S,4,W,3,O,4,L,5,C,11,S,41,0
5,6,O,9,W,10,L,5,C,6,O,11,C,41,0
10,8,L,4,C,3,W,4,S,9,O,11,C,64,1
4,5,C,8,L,10,L,5,S,9,O,2,S,44,0
8,3,W,9,O,10,S,3,L,4,S,5,C,57,0
